permno_year,publn_nr,mahal_dist
US0001002007,28452,151.34925251830404
US0001002008,79922,152.26692530739453
US0001002008,88734,221.46487688574558
US0001002008,267069,265.7893893764204
US0001011989,323050,316.14596716444026
US0001011990,323694,156.36735354381446
US0001011990,324159,181.76647270188855
US0001011991,325060,126.41149457468732
US0001002002,340356,113.40583230281008
US0001001998,346883,126.16514398800537
US0001002008,371647,154.41057907798813
US0001001997,469992,110.75557030788708
US0001002002,531024,315.7655617930133
US0001002002,531225,126.17972913731732
US0001002005,534765,297.60848503948085
US0001011986,638220,182.41122317115128
US0001002000,993119,136.3662985350937
US0001002000,996184,132.45121529106692
US0001002000,1001105,116.67970372086292
US0001002001,1024253,95.44536192281282
US0001002001,1026856,116.96300502986459
US0001002002,1035355,222.95266316969028
US0001002003,1068274,85.37073695250973
US0001002004,1090267,210.54271382700531
US0001002004,1091753,139.84345959615115
US0001002005,1101237,205.06079468562618
US0001002005,1101603,95.86088354047747
US0001001987,1177152,171.41680867142236
US0001011988,1192361,94.44392320402807
US0001011988,1195430,118.65358908826889
US0001011988,1196150,102.11960021160024
US0001011990,1216717,87.91900448462857
US0001011990,1218674,85.11133718413227
US0001011990,1221437,55.4414275730955
US0001001991,1244284,77.40179783528605
US0001011992,1252124,103.09997455681193
US0001001992,1259990,201.54061025323873
US0001001993,1278762,65.84050602156718
US0001001993,1278926,305.3052531007546
US0001001994,1292387,215.0784532228283
US0001001994,1293285,173.0282926468395
US0001001995,1311948,100.91376853274062
US0001001996,1327981,233.23514532163549
US0001001996,1328172,135.05571314897992
US0001001997,1333324,157.01294702194272
US0001001997,1339139,163.1342536211625
US0001001997,1341782,233.23790430366464
US0001001998,1354474,297.66227045455236
US0001001998,1363832,123.52008989625412
US0001001998,1363873,138.98375076997462
US0001001998,1364525,211.9448293546293
US0001001999,1370984,177.89336371227438
US0001001999,1378260,165.7273379323723
US0001011992,1474154,124.96532488301341
US0001001988,1515039,150.29365939976142
US0001001988,1529219,96.65578459982028
US0001001995,1556161,122.07510172222942
US0001001988,1570710,102.35475082517307
US0001001997,1618483,253.189985069824
US0001001999,1634912,310.3142081992558
US0001001995,1648029,70.42305794269127
US0001011988,1652981,316.2713635134812
US0001001997,1669574,150.80476652100734
US0001001997,1687160,108.75031848415857
US0001001989,1722536,210.63611499620896
US0001002000,1765536,154.95477795743875
US0001001997,1772204,96.90217670775095
US0001001989,1835990,67.10340053951417
US0001001999,1881706,121.71193197348337
US0001001997,1903988,157.8311321687388
US0001001995,1918167,100.91376853274062
US0001011986,2039163,313.9101613192806
US0001001996,2043333,154.0110483611986
US0001001990,2199129,210.79401040275073
US0001001998,2230443,121.73502266839998
US0001001987,2239663,313.4413621951346
US0001001998,2247983,121.73502266839998
US0001002001,2249953,136.15694336576323
US0001001998,2250052,121.73502266839998
US0001001991,2300562,80.3674809651207
US0001001987,2306337,105.53076622181842
US0001002001,2359820,152.72158840529045
US0001011987,2360543,81.71468215451316
US0001001991,2388624,94.07002022886084
US0001002001,2394668,88.89811730545516
US0001011991,2415222,316.1015476229197
US0001002001,2518795,96.62526231572528
US0001002001,2521802,121.46028188085772
US0001002001,2526696,153.81099468766485
US0001002002,2532881,74.77546599776383
US0001002002,2534335,79.71387724427615
US0001002002,2553393,190.8759077424495
US0001002002,2553602,82.51037144290932
US0001002003,2578816,189.3126058228363
US0001002003,2592101,290.7156730837501
US0001002003,2604447,297.53634240630265
US0001002003,2606991,108.25972494022152
US0001002003,2610653,291.16836205376904
US0001002003,2632863,221.97931663683445
US0001002003,2634580,132.9908288936134
US0001002003,2639452,297.53634240630265
US0001002003,2641146,97.37387843912538
US0001002003,2641439,315.7200519772649
US0001002003,2643816,136.48163115968796
US0001002003,2648799,151.45262497033323
US0001002003,2659223,120.02268919678733
US0001002004,2686430,189.60896215452308
US0001002005,2721305,99.42864655996691
US0001002006,2745677,171.7436624262841
US0001002006,2745678,172.59671790379866
US0001002006,2746504,176.58560258951476
US0001002006,2755269,175.75847790493646
US0001002001,3474966,136.23964987522584
US0001002001,3476854,98.02524104187142
US0001002003,3502562,79.18200523022175
US0001001988,3699183,136.82623381389806
US0001001995,3762884,120.01619551989232
US0001001997,3785474,99.99768453385514
US0001011986,4239050,223.45984939998448
US0001001986,4242101,148.39721177463636
US0001011986,4255821,182.04863906388925
US0001011987,4259359,163.19493175507304
US0001011987,4261412,128.87072964766412
US0001011987,4272045,127.45406945063283
US0001011987,4278410,113.45661190994122
US0001001988,4289856,83.28372298785656
US0001011987,4293217,153.6077970642145
US0001001989,4301837,186.3191233603568
US0001001989,4311051,304.45625457401076
US0001001989,4311052,304.45625457401076
US0001011989,4335828,195.22881596843953
US0001011990,4341487,99.2163481979617
US0001011990,4357622,223.38874259816268
US0001011990,4361118,188.45958805081736
US0001011990,4365023,68.60790831143623
US0001011990,4366864,127.07185942224623
US0001011992,4404052,302.79346421242684
US0001001992,4405615,173.8105472522093
US0001011992,4408386,302.79346421242684
US0001001994,4476411,117.55976314750782
US0001001994,4516259,132.70231931526038
US0001001996,4588167,216.08236426726472
US0001001997,4616211,60.4106432955069
US0001001997,4623104,155.45785817972444
US0001001997,4624160,121.79904316515733
US0001001999,4629558,220.80483209731793
US0001001999,4637116,314.91293759718604
US0001001998,4638867,138.62633317584329
US0001001998,4646869,110.27198791109633
US0001001998,4664264,308.07939348801926
US0001001998,4678499,124.13983259054841
US0001001999,4685130,265.7888440032764
US0001001999,4686406,150.49585105466358
US0001001999,4699949,201.3461172426823
US0001001999,4719214,80.39555346491593
