permno_year,publn_nr,mahal_dist
US0001002007,28452,0.004461548363397749
US0001002008,79922,0.00496512599700966
US0001002008,88734,0.003835140273637113
US0001002008,267069,0.014290403348606626
US0001011989,323050,0.0035180003605189817
US0001011990,323694,0.0021084600393705914
US0001011990,324159,0.002157651046864544
US0001011991,325060,0.0016127518019320836
US0001002002,340356,0.0028556226522802744
US0001001998,346883,0.0029708685530656378
US0001002008,371647,0.004011757967327516
US0001001997,469992,0.00500816754117292
US0001002002,531024,0.0036062100200254035
US0001002002,531225,0.009890450691251116
US0001002005,534765,0.007513764956247419
US0001011986,638220,0.0020606845870418996
US0001002000,993119,0.00495145487800549
US0001002000,996184,0.0031988751944405365
US0001002000,1001105,0.003298388770973762
US0001002001,1024253,0.005567092764964525
US0001002001,1026856,0.003299671038751367
US0001002002,1035355,0.0028292668146591648
US0001002003,1068274,0.005189217168426786
US0001002004,1090267,0.023644489692851527
US0001002004,1091753,0.009627229859993923
US0001002005,1101237,0.007599811965200713
US0001002005,1101603,0.01579813313124266
US0001001987,1177152,0.013852559228455154
US0001011988,1192361,0.0017730174400213228
US0001011988,1195430,0.003049731524343272
US0001011988,1196150,0.0012247534823545672
US0001011990,1216717,0.0015372649835096867
US0001011990,1218674,0.0018135400524940826
US0001011990,1221437,0.002364736726105871
US0001001991,1244284,0.003033903266133349
US0001011992,1252124,0.0025300689218724234
US0001001992,1259990,0.004958751482267616
US0001001993,1278762,0.004505593112499603
US0001001993,1278926,0.005899976641534721
US0001001994,1292387,0.0035602463539932826
US0001001994,1293285,0.004666765807439046
US0001001995,1311948,0.0042127651562607425
US0001001996,1327981,0.020754122456773237
US0001001996,1328172,0.004522405738058733
US0001001997,1333324,0.0034698577090261445
US0001001997,1339139,0.015124911514943438
US0001001997,1341782,0.02123607298438684
US0001001998,1354474,0.005318855934634018
US0001001998,1363832,0.0029671576939904664
US0001001998,1363873,0.004942906362340542
US0001001998,1364525,0.004200963681375737
US0001001999,1370984,0.0027526562515894815
US0001001999,1378260,0.0036389713579622076
US0001011992,1474154,0.002606375183071115
US0001001988,1515039,0.003201864852856318
US0001001988,1529219,0.0015823747562436804
US0001001995,1556161,0.00709097044192573
US0001001988,1570710,0.002920990494929985
US0001001997,1618483,0.018435885846062545
US0001001999,1634912,0.004004245155445833
US0001001995,1648029,0.0033250251302869844
US0001011988,1652981,0.003324604868021205
US0001001997,1669574,0.00409622164983071
US0001001997,1687160,0.003749475039764218
US0001001989,1722536,0.02673764079090584
US0001002000,1765536,0.007200394664890491
US0001001997,1772204,0.003665431388158066
US0001001989,1835990,0.002888089786261394
US0001001999,1881706,0.02033689613000857
US0001001997,1903988,0.010805988688728984
US0001001995,1918167,0.0042127651562607425
US0001011986,2039163,0.0037442019739207803
US0001001996,2043333,0.0037134859874208897
US0001001990,2199129,0.02704980741079031
US0001001998,2230443,0.020821855767183095
US0001001987,2239663,0.004074897314610464
US0001001998,2247983,0.020821855767183095
US0001002001,2249953,0.0032368565963398965
US0001001998,2250052,0.020821855767183095
US0001001991,2300562,0.0015538936173292803
US0001001987,2306337,0.0050401381431324655
US0001002001,2359820,0.0031761525758569093
US0001011987,2360543,0.0013166077914169249
US0001001991,2388624,0.0023616526687561187
US0001002001,2394668,0.005419852331632982
US0001011991,2415222,0.003269094929028994
US0001002001,2518795,0.0034338604833219154
US0001002001,2521802,0.01940250585599988
US0001002001,2526696,0.003344680196956716
US0001002002,2532881,0.002046998126083666
US0001002002,2534335,0.0034567162352228346
