publn_nr,publn_year,permno_adj,IPC1
1000007,2000,US310411980,A61K  47/32
1000014,2000,US135315170,C07H   1/00
1000021,2000,US390394230,A47K  10/42
1000049,2000,US221918501,A61P  19/00
1000151,2000,NL24473890,C08F   4/22
1000243,2000,US363555336,F16J  15/447
1000269,2000,US135315170,C07D 231/12
1000331,2000,US135315170,A61P   3/10
1000345,2000,US135315170,A61P  17/00
1000355,2000,US250730780,C08L 101/00
1000367,2000,US410417775,C12Q   1/08
1000384,2000,US943133088,B65D  83/00
1000472,2000,US391434669,A61L   2/18
100048,2007,US160417150,H01L  21/208
1000527,2000,US980420726,C08K   3/22
100060,2007,US222640650,G01F   3/08
10007,2007,US350257090,F01N   3/023
1000730,2000,US953540776,C12N   5/10
1000735,2000,US360698440,A61K  31/519
1000762,2000,US160417150,C08G  69/42
1000764,2000,US042271897,C09D   7/00
1000778,2000,CN*J00S4140,C08J   3/26
1000925,2000,US860629024,H03M   1/74
1000952,2000,US753099507,B65D  47/24
100097,2007,US140689340,C23C  16/04
1000990,2000,US341531521,B03B   5/00
1001071,2000,US221024240,A61K  31/155
1001105,2000,US*901469241,B01J   3/00
1001117,2000,US580628465,F25D  11/00
1001171,2000,US430259330,G05B  15/02
1001245,2000,NL24473890,B01J  32/00
10013,2007,US221918501,A23J   1/00
1001416,2000,US941081436,B41J   2/14
100142,2007,US340676895,H01R  13/46
1001466,2000,US127688636L,H03H  19/00
1001483,2000,US140689340,C08K   3/04
1001534,2000,US953685934,H04M   1/2745
100160,2008,US160393470,C08K   9/06
1001615,2000,US360781620,C07K  16/40
1001670,2000,GB00851026,A61P  19/02
1001710,2000,IE545333,A61B  17/04
1001806,2000,US220790350,A61M   1/02
1001854,2000,US340526850,C09D   5/02
1001872,2000,IE545333,A61B  17/02
100188,2008,US042695240,A61N   1/39
100190,2008,US360781620,C08B  37/00
1001991,2000,US230366390,D06N   1/00
1002010,2000,US221918501,A61B  10/00
1002024,2000,US221918501,C09D 201/00
10021,2007,US221918501,A61J   1/03
100218,2008,US710872999,C12N  15/53
100220,2008,US160393470,C03B  17/00
1002206,2000,US410417775,B29C  63/02
1002224,2000,US140689340,C08G  77/46
1002238,2000,IE545333,A61B  17/90
1002244,2000,US042209186,G01N  35/02
100234,2008,IE512978,H01R  13/53
1002343,2000,US310411980,D06M  13/35
1002354,2000,US135409005,C10L   1/192
1002402,2000,US160393470,G01N  33/545
100250,2008,US146821616L,A61K  47/30
1002503,2000,US310411980,C11D   1/79
1002628,2000,GB00851026,A61P  19/02
100264,2008,US060513860,H01M   4/583
100266,2008,IE545333,A61B  19/00
100268,2008,IE545333,A61B  19/00
1002747,2000,IE545333,A61F   5/01
100276,2008,US953540776,C07D 417/14
1002827,2000,US042695240,A61B  18/12
1002844,2000,US140689340,F02D  41/22
1002882,2000,US140689340,G06F  11/22
1003048,2000,US130871985,G09G   5/36
1003142,2000,US360698440,A61F   9/01
100316,2008,US350225010,H01P   1/205
1003173,2000,US80-998-7139,B65D  71/00
100318,2008,US362382580,F16H  47/04
1003213,2000,US112534306,F21S  10/02
1003391,2000,US222640650,H01S   3/03
1003437,2000,US411532464,G06F  12/08
1003450,2000,US140689340,C08L  67/02
1003455,2000,US222640650,B64G   1/00
100348,2008,USM46560,H04L   1/06
100358,2008,US135315170,A61K  48/00
1003669,2000,NL30000153,C08F   8/04
1003688,2000,US042209186,G01N  33/558
1003740,2000,US310411980,C11D   3/10
1003763,2000,US942634797,C23C  16/507
1003777,2000,US410417775,C08L 101/00
100384,2008,FI01120389,C30B  29/40
1003873,2000,US221024240,A61B  17/86
100408,2008,US570248420,B65D  43/06
1004092,2000,US410417775,C07F   5/02
1004100,2000,US941081436,B41J   2/175
1004120,2000,US510014090,C12N  15/82
1004139,2000,US221024240,A61K   9/00
1004155,2000,NL30000153,B22F   1/00
1004171,2000,US390622040,H01M  10/44
1004428,2000,US140689340,C07B  61/00
1004460,2000,US410417775,C08G  18/65
1004507,2000,US410231510,C11D  17/00
1004508,2000,US220790350,A61K  31/423
1004551,2000,US134466320L,F24C  15/16
100458,2008,FR395030844,A61K  31/785
1004632,2000,NL24473890,B01J  31/16
1004641,2000,US541692118,B05D   3/10
1004752,2000,US135315170,A61K  48/00
1004753,2000,US126526136L,B60G   3/28
1004792,2000,US943134940,A61K  47/32
1004798,2000,US222640650,G09G   5/00
1004832,2000,BM28680R,G06F   9/45
100484,2008,US941622541,H01S   3/081
1004849,2000,IE498284,A61K  38/00
1004914,2000,US941672743,H04J   3/06
1004946,2000,US221918501,C12Q   1/28
100496,2008,US930822509,B65G  27/04
1005155,2000,DE8170014684,B01D  53/52
100518,2008,US942404110,G06F  17/30
1005256,2000,US222640650,G02B  27/02
1005262,2000,US350470950,C07D 409/12
1005282,2000,US160417150,B32B  17/10
1005286,2000,CHCHE103867266,A61P   9/12
10053,2007,US591995548,C12P  21/08
1005316,2000,US341897652,C08L  51/00
1005434,2000,US221918501,A61K  39/35
100544,2008,US160393470,B32B  17/10
100546,2008,US160417150,G06F  17/30
1005488,2000,US221918501,G02F   1/137
1005521,2000,US060570975,B05B   1/14
1005529,2000,US141902018,G01N  33/15
1005530,2000,US127688636L,H04L  27/26
1005625,2000,US410417775,G09F  15/02
1005671,2000,IE545333,A61B  17/16
1005879,2000,US*D00225910,C03C  25/14
1005900,2000,US221918501,C12N  15/09
1005901,2000,US310411980,A61F   5/455
1005940,2000,US042695240,A61F   2/82
1006098,2000,US220790350,C12P  17/18
1006224,2000,US80-998-7139,B65D  71/00
1006227,2000,US135409005,C10M 135/10
1006230,2000,US930708501,C12Q   1/34
1006351,2000,US61-303-5091,F16H  48/08
1006504,2000,US941672743,G06F   9/38
1006545,2000,US943296648,A61M  15/00
1006562,2000,US127688636L,G06F   9/445
1006571,2000,US753099507,G09F  19/12
1006590,2000,US941672743,H04L  12/28
1006595,2000,US133575653,H04L   9/30
1006621,2000,US160757636,H02K  41/025
1006777,2001,US410417775,B01D  39/20
1006800,2001,US130871985,G06F  17/30
1006804,2001,US130871985,G06F   5/06
1006817,2001,US750289970,G06F   5/00
1006826,2001,US750289970,H03L   7/091
1006846,2001,US750289970,H03G   3/30
1006965,2001,US130871985,H04L  12/931
1006990,2001,US160393470,H04Q  11/04
1007042,2001,US541692118,B23B  27/16
100716,2008,IE545333,A61B  18/14
1007249,2001,US811197930,G02B   6/38
100736,2008,US140689340,G06F  19/00
100738,2008,US431301883,H04L  29/06
1007409,2001,US221918501,C08F   4/68
1007426,2001,US362382580,F02F   1/38
1007464,1996,US221918501,C12N   9/00
100752,2008,BM39158R,H01L  29/78
100754,2008,US751618004,H01L  25/10
100758,2008,US361258310,B23K   9/10
1007795,2001,CHCHE114934754,H01R  12/78
1007797,2001,US361258310,B05B   5/025
1007817,2001,US160417150,B65H  31/26
100786,2008,US231147939,A61M  25/00
1007910,2001,US650654331,B32B  27/08
100792,2008,US910425694,H01S   3/042
1007963,2001,US*839833915,B60R  11/02
1008017,2001,US363853103,A61M  15/08
100808,2008,US361984010,G05D  16/02
100810,2008,US361115800,G06Q  50/00
100812,2008,US941081436,H04B  10/02
1008146,2001,NL24473890,B32B  27/06
100816,2008,US340217820,C09C   1/68
1008278,2001,US222640650,F24H   1/48
1008346,2001,USM46560,H03G   3/30
1008352,2001,US130871985,B41N   1/08
100836,2008,US361258310,F16B  45/00
1008429,2001,US522284372,A23J   3/08
1008465,2001,US043110160,G01N  27/447
10085,2007,US770059951,H04B  10/06
100852,2008,US770059951,H04L  12/28
100858,2008,US361258310,B65D  71/50
100860,2008,US042209186,G01N  23/223
100864,2008,US941081436,G06K   7/10
1008661,2001,US160417150,G03G  15/00
1008685,2001,US160417150,B65H   9/00
1008704,2001,US383519512,F25B   9/00
1008778,2001,US430259330,F16B   7/18
1008803,2001,US362382580,F02F   1/24
1008828,2001,US222640650,C10G  49/22
100883,2008,US222640650,G08B   1/00
1008886,2001,US160417150,B65H   9/00
1008910,2001,US160417150,G03G  21/00
1008929,1996,US231722724,H01L  23/485
1008944,2001,US362382580,E02F   3/34
1009017,2001,US042209186,G01N  35/00
100913,2008,US131815595,A46B   9/04
1009153,1997,GB03888792,F16K  24/04
100917,2008,US840846841,G01R  31/00
1009170,1995,US953540776,A61K  38/00
1009228,2001,US230366390,C09D 201/08
100923,2008,US751618004,H01L  21/56
1009242,2001,US952453261,H01R  13/115
100927,2008,US250900168,C23C  28/04
10093,2007,IE522227,A61K   9/20
1009494,2001,US362382580,A01D  45/02
100951,2008,US042564110,G01B   5/28
1009584,2001,US231274455,F25J   3/06
1009606,2001,US941672743,H03M  13/41
100973,2008,US390168610,F04B  49/00
1009761,2001,US230366390,E04B   9/08
100979,2008,US222640650,G01N  29/24
1009893,2001,US04-884-7723,F02F   5/00
1009907,2001,US*839833915,B60J   3/02
1009908,2001,US222640650,C10G  19/02
1009954,2001,US362382580,B60T  11/224
1010081,2001,US430259330,B65G  21/20
1010126,2001,US361115800,H03G   3/30
101015,2008,US470248710,B65D  77/22
1010434,2001,US363514169,B60N   2/28
1010528,2001,US160417150,B65H  23/32
101053,2008,US411356149,B05D   7/00
1010708,2001,US221918501,C09K  19/18
1010712,2001,US361115800,H04J  11/00
1010713,2001,US522284372,B65D  75/58
1010771,2001,US362382580,A01D  34/63
1010825,2001,US362382580,B60N   2/52
1010885,2001,US231274455,F25J   3/02
1010935,2001,US363853103,B05B  17/04
1010962,2001,US340217820,C04B  41/51
101097,2008,US621786244,A61K  38/18
1011022,2001,US330199426,A43B  21/28
1011034,2001,US231274455,B01J   8/06
1011038,2001,US381794485,F16K  11/044
1011148,2001,US361115800,H04L  12/28
1011213,2001,US231274455,B08B   3/08
1011273,2001,US811197930,H01R  24/44
1011305,2001,US132739290,B02C  18/00
101131,2008,US135315170,C07F   9/12
101133,2008,US042272148,G01R  31/28
1011371,2001,US310411980,A61Q   5/06
101145,2008,US750289970,B23K   1/00
1011486,1995,DE7330530056,F02D  41/36
10115,2007,US941081436,H04N   7/24
101175,2008,US760207995,E21B  43/12
1011780,2001,US231147939,A61B  17/24
101189,2008,US410222640,B01D  50/00
1011916,2001,US541692118,H01L  41/083
1012012,2001,US221918501,G02F   1/139
101213,2008,US953685934,H04N   7/26
1012167,2001,US231274455,B01J  20/02
1012198,2001,US361115800,H04L   1/00
101231,2008,US953685934,H03F   3/45
1012351,2001,US390622040,G01M   1/22
1012381,2001,US362382580,F16H  39/04
1012449,2001,US042209186,G01N  33/53
1012452,2005,US042209186,G01N  33/543
1012539,2001,US650654331,B63C  11/22
1012584,2001,US160393470,C09D 183/04
1012741,2001,US362090085,B65H  18/26
1012779,1997,US360848180,A63B  21/005
1012864,2001,US410417775,C08G  81/02
1012867,2001,US350160610,B44F   5/00
1012949,2001,US750289970,H04B   1/707
101297,2008,US750289970,H01L  27/06
101301,2008,US751618004,G11C  29/40
101303,2008,US750289970,H01L  21/363
1013068,2001,US80-998-7139,B65D  71/00
1013131,2001,US160417150,A61B   5/00
101325,2008,US770059951,H04B   7/04
1013286,2001,DK41815612,F16K  11/20
1013288,2001,DK41815612,F16K  47/02
1013289,2001,DK41815612,F24D  19/10
1013372,2001,CHCHE114934754,G02B   6/44
10133983,1987,US221918501,C08F 220/54
1013409,2001,US200812170,C10N  20/00
1013428,2001,US410417775,B60R  13/04
1013475,2001,US341531521,H01H   9/02
1013503,2001,US350160610,B29C  49/06
1013505,2001,US341531521,B62D  55/084
1013508,2001,US341531521,B66C  19/00
1013548,2001,US341531521,B66C  23/82
1013569,2001,US350470950,B65D  85/30
1013572,2001,US340276860,G02B  26/00
1013576,2001,US221024240,A61K  31/35
1013709,2001,US140689340,F01D   5/20
101373,2008,GB05299925,H04L  12/56
1013758,2001,US410417775,G03B  21/56
1013997,2001,IE545333,A61B   1/267
1014081,2001,US130871985,G06F   1/32
1014245,2001,US410417775,B24D  11/02
101427,2008,US953685934,H04L  12/56
101429,2008,US411941551,B01F  13/08
101431,2008,US953685934,H04W  48/16
1014314,2001,JP000000703JPN,C08J   7/18
1014315,2001,US220790350,A61K  31/45
101443,2008,US381285128,G01N  29/04
1014447,2001,US160393470,B01D  19/04
101445,2008,US042209186,H01L  27/148
1014452,2001,US361258310,B05B  17/04
1014455,2001,DE8170014684,B01D  53/047
101453,2008,US770059951,H04L  29/06
1014556,2001,US060548860,B21J  15/28
1014562,2001,US381285128,C09D 201/00
1014582,2001,US630780521,B27B  33/14
1014643,2001,US132595091,H01H   1/58
1014650,2001,JP000000971JPN,G11B   7/004
1014689,2001,GB00432989,H01B  11/18
1014691,2001,US361984010,F02M  61/20
1014695,2001,US591995548,F23N   5/08
101471,2008,US951778500,G08B   1/00
1014723,2001,US135315170,C12P  17/16
1014734,2001,US160393470,C08J   3/24
1014748,2001,DE8170014684,B23K  20/12
1014766,2001,US221024240,A61F   2/44
1014785,2001,CHCHE100619832,F16B   5/12
1014787,2001,GB00432989,F16L  15/02
101485,2008,US750289970,G06F  12/00
1014853,2001,US361258310,B65B  13/30
1014856,2001,FI01120389,H04L   1/18
1014902,2001,US060548860,B25F   5/00
1014904,2001,US*929143416,G06F  21/00
1014905,2001,US222640650,C10G  67/02
1014932,2001,US160393470,C08F 290/14
1014962,2001,US140689340,F01D   5/18
1014986,2001,US160393470,F16F  15/02
1014990,2001,US361258310,F25D  23/08
1015002,2001,GB00137013,F04B   9/02
1015023,2001,US361258310,B65D  75/58
1015037,2001,CHCHE100619832,B65G  11/20
1015042,2001,IE545333,A61B  18/14
1015047,2001,US522284372,A23L  13/00
1015052,2001,US140689340,F02C   7/28
1015066,2001,US221024240,A61F   2/91
1015091,2001,US060570975,F04D  29/30
101511,2008,US130871985,H01L  21/768
1015121,2001,US221024240,G01N  35/10
1015129,2001,US130871985,G06F  11/00
1015174,2001,US135315170,A61K  47/44
1015187,2001,US221024240,A61L  17/12
1015208,2001,US361258310,B65D  33/25
1015216,2001,US130871985,G06F  11/00
1015235,2001,US140689340,F02C   7/12
1015239,2001,US231274455,C07D 251/36
1015240,2001,US231274455,C07B  39/00
1015246,2001,US221024240,A61F   2/08
1015257,2001,DE8170014684,B01D  53/34
1015281,2001,US140689340,F01D   9/04
1015301,2001,CHCHE114934754,G02B   6/38
1015315,2001,FI01120389,H04L   9/08
1015337,2001,US361258310,B65D   5/66
1015390,2001,CHCHE114934754,H01R  13/639
1015409,2001,US952110371,H04L  12/56
1015466,2001,US112534306,A61K   8/34
101553,2008,US953685934,G06F  15/00
1015535,2001,FR495380503,A23G   3/26
1015584,2001,US770422528,H04N   7/173
1015591,2001,CHCHE114934754,H01R  13/11
1015611,2001,US381686453,F42B   3/13
1015659,2001,US361258310,F16B  15/00
1016009,2001,US361258310,F16B  35/04
101601,2008,US942885898,G01N  19/06
101605,2008,US953685934,H04L  12/18
1016206,2001,US361115800,H04L  12/751
1016246,2001,US361258310,F24C  15/32
1016337,2001,US941109521,B29C  70/50
1016391,2001,US160417150,G06F   3/14
1016754,2001,US750289970,G01R  31/316
101677,2008,US750289970,H04B   7/212
101681,2008,US02-719-4946,B31B   1/02
101687,2008,US940890210,G01V  11/00
101703,2008,US223531208,H01L  21/66
101719,2008,US360698440,C12Q   1/68
101725,2008,US760207995,E21B  29/06
1017394,2001,US811197930,F16K   7/12
1017427,2001,US411443470,B62D  55/112
1017495,2001,US112534306,H04R   9/02
1017573,2001,US042209186,B61B   3/00
1017595,2001,US135315170,C07C 229/08
1017604,2001,US760475815,F16L  11/10
1017704,2001,US221918501,A61P   5/06
1017754,2001,US140689340,C08L  21/00
1017931,2001,US930370304,H05K   3/00
1018025,2001,US221918501,A61P  25/14
1018159,2001,US951567322,A63H   3/28
1018164,2001,NL30000153,C09C   3/06
1018183,2001,US112408943,A61K   8/00
1018191,2001,GB00102498,C07C  63/38
1018361,2001,IE545333,A61B  17/34
1018499,2001,US310411980,A61M  37/00
1018506,2001,US042695240,A61M  25/08
1018526,2001,US941672743,H04N   7/088
1018536,2001,US381285128,C07C  15/44
1018780,2001,US221024240,A61B  17/132
1018809,2001,US135315170,A61P  25/36
1018866,2001,US310411980,B26B
1018885,2001,US410417775,B32B  21/08
1018898,2001,US381285128,C08F 210/10
1019140,2001,US130871985,G06K   9/38
1019234,2001,US381285128,B65D  65/40
1019251,2001,GB09257343,C02F   1/44
1019256,2001,US410417775,A61M  16/00
1019291,2001,US953685934,H04L  12/56
1019554,2001,US340276860,H04L  29/06
1019585,2001,US310411980,A61F  13/15
1019615,2001,US131815595,A61K   8/898
1019640,2001,US140689340,A61B   6/06
1019643,2001,US160393470,C09D 135/00
1019659,2001,US222640650,B64D  41/00
1019797,2001,US980420726,H01M   8/02
1019985,2001,US410417775,C22C  47/06
1019997,2001,US02-719-4946,B65G  29/02
1020005,2001,US220790350,C07H  21/04
1020022,2001,US431878297,C12N   9/10
1020106,2001,US340183970,G07D   1/00
1020111,2001,CHCHE106841866,C07C 231/04
102019,2003,US980420726,C07F   7/00
1020269,2001,US410417775,A61F   5/01
1020276,2001,US361115800,H04B   7/005
1020287,2001,US131952290,G01B   7/02
1020334,2001,US221918501,A61K  31/444
1020370,2001,DK41815612,G01R   1/24
1020384,2001,US941672743,H04B   1/707
1020460,2001,NL24473890,C07F   5/02
1020517,2001,US530257888,H05K   3/12
1020613,2001,US510014090,D02G   1/02
1020623,2001,US410231510,C11D   3/02
1020625,2001,US870547337,A62D 101/45
1020626,2001,US941672743,G06F   1/32
1020644,2001,US160417150,B01J  23/42
1020651,2001,US650654331,B29C  65/34
1020706,2001,US221918501,C09C   1/00
1020741,2001,US310411980,A45D   1/02
1020749,2001,GB04366849,C07B  61/00
1020920,2001,US941672743,H04L  12/413
1020926,2001,US410417775,C09J   5/00
1020975,2001,US222640650,F16C  11/12
1020978,2001,US381285128,C07B  61/00
1021029,2001,US350160610,B21D  51/38
1021103,2001,GB04366849,C08G  65/10
1021128,2004,US042209186,B03C   1/02
1021282,2001,US410417775,B24D   3/34
1021303,2001,US930584541,A43B  13/20
1021337,2001,US951492269,B29C  47/88
1021340,2001,US042209186,C12Q   1/68
1021453,2001,US541692118,C07F   5/06
1021613,2001,US410417775,B41M   5/50
1021615,2001,US042052042,G01N  11/04
1021657,2001,US222640650,C22C  28/00
1021676,2001,US135409005,C10G  19/04
1021698,2001,US941672743,H04L  12/28
1021705,2001,JP000030643JPN,G06F  11/10
1021724,2001,USM46560,H04J   3/06
1021739,2001,US381285128,A61L  15/24
1021751,2001,US381285128,C07C 211/14
1021774,2001,US221024240,A61B  17/16
102191,2008,US362382580,B25J  13/08
1021944,2001,US930584541,A43B  13/20
1021949,2001,US953685934,H04L   1/00
1021956,2001,US*894088003,C07K  14/37
1022020,2001,US390394230,G01N  33/544
1022050,2001,US390520270,B66F  11/04
1022135,2001,US310411980,A45D   2/36
1022331,2001,US390394230,A61M   5/175
1022402,2001,US220790350,C07D 487/04
1022409,2001,US470813844,C09K   5/10
1022429,2001,US200865835,A61K  47/38
1022442,2001,US951778500,G08G   1/01
1022620,2001,US753099507,B65D  41/34
1022641,2001,US08-823-9165,C09J  11/06
1022682,2001,US222640650,G02B   3/00
1022711,2001,US061398235,H01B   1/24
1022715,2001,US410417775,H01M  10/40
1022724,2001,US160417150,A61K   9/26
1022882,2001,DE5330000056,A61P  15/08
1022934,2001,CHCHE114934754,H01R  11/12
1022962,2001,US470813844,C08F 210/16
1023038,2001,US310411980,A61F  13/20
1023051,2001,US410417775,B60J   1/00
1023071,2001,US200865835,C08F 216/18
1023195,2001,US310411980,A61C  17/22
1023196,2001,DE5330000056,A61P  15/18
1023286,2001,US130871985,H04J   3/06
1023388,2001,US381285128,B29K  23/00
1023547,2001,US042695240,A61B  18/14
1023562,2001,DE5330000056,A61K  31/56
1023569,2001,US410231510,A01N  31/02
1023827,2001,US221024240,A61K  38/00
1023845,2001,US942875566,A61K  47/34
1023868,2001,JP000001032JPN,G01N  33/53
1023885,2001,US330525145,C07D 513/16
1023988,2000,US*D00225910,D21H  13/40
